Online ISBN,Author,Book Title,Series,Category,Publisher,Product Group,Core Subjects,Cambridge Core DOI/URL
9.78E+12,Pham/Chen/Aihara,LCP for Microwave Packages and Modules,The Cambridge RF and Microwave Engineering Series,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, RF and Microwave Engineering, Electronic, Optoelectronic Devices, and Nanotechnology, Circuits and Systems",https://doi.org/10.1017/CBO9780511777240
9.78E+12,Royal Society,Report of the President and Council of the Royal Society on the Instructions to be Prepared for the Scientific Expedition to the Antarctic Regions,Cambridge Library Collection - Polar Exploration,Historic,Cambridge University Press,Cambridge Library Collection,"Social Sciences, Geography, Historical Geography",https://doi.org/10.1017/CBO9781139236614
9.78E+12,Alarcen/Valenten,Introduction to Epilepsy,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Neurology and Clinical Neuroscience",https://doi.org/10.1017/CBO9781139103992
9.78E+12,Couillet/Debbah,Random Matrix Methods for Wireless Communications,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, Statistics and Probability, Wireless Communications, Statistics for Physical Sciences and Engineering",https://doi.org/10.1017/CBO9780511994746
9.78E+12,Wolf et al,Emergency Dermatology,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Medicine, Dermatology",https://doi.org/10.1017/CBO9780511778339
9.78E+12,Gbur,Mathematical Methods for Optical Physics and Engineering,,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Engineering, Optics, Optoelectronics and Photonics, Electronic, Optoelectronic Devices, and Nanotechnology",https://doi.org/10.1017/CBO9780511777677
9.78E+12,Link,Ecosystem-Based Fisheries Management,,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Life Sciences, Ecology and Conservation, Natural Resource Management, Agriculture, Horticulture and forestry",https://doi.org/10.1017/CBO9780511667091
9.78E+12,Impey,Talking about Life,,Trade Titles,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Physics And Astronomy, Computational Science and Modelling, History of Astronomy and Cosmology",https://doi.org/10.1017/CBO9780511763328
9.78E+12,Schneider/Galup-Montoro,CMOS Analog Design Using All-Region MOSFET Modeling,,Professional and Individual Purchase,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Engineering, Circuits and Systems, Electronic, Optoelectronic Devices, and Nanotechnology",https://doi.org/10.1017/CBO9780511803840
9.78E+12,Freedman,Statistical Models,,Coursebooks and Recommended Reading,Cambridge University Press,Cambridge Books Online,"Science and Engineering, Statistics and Probability, Statistical Theory and Methods",https://doi.org/10.1017/CBO9780511815867
